"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: cacheEntryOverhead","Param: cacheMB","Param: fillByte","Param: preparation","Param: valueSize"
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.00","sample",1,1,41.000000,NaN,"ns/op",1024,1,17,copyin,8192
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.50","sample",1,1,375.000000,NaN,"ns/op",1024,1,17,copyin,8192
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.90","sample",1,1,500.000000,NaN,"ns/op",1024,1,17,copyin,8192
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.95","sample",1,1,500.000000,NaN,"ns/op",1024,1,17,copyin,8192
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.99","sample",1,1,583.000000,NaN,"ns/op",1024,1,17,copyin,8192
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.999","sample",1,1,3208.000000,NaN,"ns/op",1024,1,17,copyin,8192
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.9999","sample",1,1,12736.000000,NaN,"ns/op",1024,1,17,copyin,8192
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p1.00","sample",1,1,1570816.000000,NaN,"ns/op",1024,1,17,copyin,8192
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment","sample",1,3736324,891.867361,0.709930,"ns/op",1024,1,17,copyin,16384
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.00","sample",1,1,125.000000,NaN,"ns/op",1024,1,17,copyin,16384
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.50","sample",1,1,875.000000,NaN,"ns/op",1024,1,17,copyin,16384
